cluster	class	count
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	57
1	Cluster specific rare	2
1	Cluster specific rare	6
1	Cluster specific rare	31
1	Cluster specific rare	39
1	Cluster specific rare	0
1	Cluster specific rare	1
1	Cluster specific rare	9
1	Cluster specific rare	0
1	Cluster specific rare	13
1	Cluster specific rare	18
1	Cluster specific rare	16
1	Cluster specific rare	12
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	4
1	Cluster specific rare	12
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	4
1	Cluster specific rare	19
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	4
1	Cluster specific rare	5
1	Cluster specific rare	11
1	Cluster specific rare	4
1	Cluster specific rare	9
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	5
1	Cluster specific rare	1
1	Cluster specific rare	11
1	Cluster specific rare	12
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	10
1	Cluster specific rare	8
1	Cluster specific rare	19
1	Cluster specific rare	0
1	Cluster specific rare	8
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	0
1	Cluster specific rare	19
1	Cluster specific rare	6
1	Cluster specific rare	8
1	Cluster specific rare	5
1	Cluster specific rare	21
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	10
1	Cluster specific rare	1
1	Cluster specific rare	11
1	Cluster specific rare	8
1	Cluster specific rare	1
1	Cluster specific rare	7
1	Cluster specific rare	0
1	Cluster specific rare	5
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	30
1	Cluster specific rare	39
1	Cluster specific rare	7
1	Cluster specific rare	2
1	Cluster specific rare	12
1	Cluster specific rare	5
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	4
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	13
1	Cluster specific rare	5
1	Cluster specific rare	38
1	Cluster specific rare	14
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	6
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	4
1	Cluster specific rare	24
1	Cluster specific rare	1
1	Cluster specific rare	14
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	12
1	Cluster specific rare	12
1	Cluster specific rare	7
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	7
1	Cluster specific rare	3
1	Cluster specific rare	7
1	Cluster specific rare	20
1	Cluster specific rare	8
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	8
1	Cluster specific rare	1
1	Cluster specific rare	6
1	Cluster specific rare	9
1	Cluster specific rare	0
1	Cluster specific rare	6
1	Cluster specific rare	33
1	Cluster specific rare	25
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	8
1	Cluster specific rare	9
1	Cluster specific rare	1
1	Cluster specific rare	30
1	Cluster specific rare	1
1	Cluster specific rare	11
1	Cluster specific rare	12
1	Cluster specific rare	3
1	Cluster specific rare	6
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	7
1	Cluster specific rare	20
1	Cluster specific rare	5
1	Cluster specific rare	44
1	Cluster specific rare	0
1	Cluster specific rare	0
1	Cluster specific rare	1
1	Cluster specific rare	20
1	Cluster specific rare	11
1	Cluster specific rare	2
1	Cluster specific rare	5
1	Cluster specific rare	4
1	Cluster specific rare	4
1	Cluster specific rare	39
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	16
1	Cluster specific rare	15
1	Cluster specific rare	24
1	Cluster specific rare	35
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	8
1	Cluster specific rare	4
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	33
1	Cluster specific rare	2
1	Cluster specific rare	5
1	Cluster specific rare	12
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	6
1	Cluster specific rare	9
1	Cluster specific rare	13
1	Cluster specific rare	11
1	Cluster specific rare	7
1	Cluster specific rare	6
1	Cluster specific rare	1
1	Cluster specific rare	5
1	Cluster specific rare	16
1	Cluster specific rare	19
1	Cluster specific rare	5
1	Cluster specific rare	3
1	Cluster specific rare	9
1	Cluster specific rare	2
1	Cluster specific rare	15
1	Cluster specific rare	4
1	Cluster specific rare	4
1	Cluster specific rare	5
1	Cluster specific rare	0
1	Cluster specific rare	8
1	Cluster specific rare	2
1	Cluster specific rare	11
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	6
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	7
1	Cluster specific rare	7
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	5
1	Cluster specific rare	7
1	Cluster specific rare	11
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	6
1	Cluster specific rare	8
1	Cluster specific rare	2
1	Cluster specific rare	5
1	Cluster specific rare	42
1	Cluster specific rare	46
1	Cluster specific rare	11
1	Cluster specific rare	4
1	Cluster specific rare	2
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	7
1	Cluster specific rare	36
1	Cluster specific rare	13
1	Cluster specific rare	2
1	Cluster specific rare	5
1	Cluster specific rare	1
1	Cluster specific rare	4
1	Cluster specific rare	13
1	Cluster specific rare	7
1	Cluster specific rare	13
1	Cluster specific rare	5
1	Cluster specific rare	5
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	11
1	Cluster specific rare	12
1	Cluster specific rare	5
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	6
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	4
1	Cluster specific rare	1
1	Cluster specific rare	15
1	Cluster specific rare	35
1	Cluster specific rare	23
1	Cluster specific rare	7
1	Cluster specific rare	18
1	Cluster specific rare	10
1	Cluster specific rare	8
1	Cluster specific rare	7
1	Cluster specific rare	2
1	Cluster specific rare	11
1	Cluster specific rare	2
1	Cluster specific rare	9
1	Cluster specific rare	11
1	Cluster specific rare	3
1	Cluster specific rare	8
1	Cluster specific rare	5
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	13
1	Cluster specific rare	0
1	Cluster specific rare	6
1	Cluster specific rare	13
1	Cluster specific rare	10
1	Cluster specific rare	2
1	Cluster specific rare	10
1	Cluster specific rare	22
1	Cluster specific rare	1
1	Cluster specific rare	13
1	Cluster specific rare	4
1	Cluster specific rare	7
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	9
1	Cluster specific rare	0
1	Cluster specific rare	6
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	4
1	Cluster specific rare	10
1	Cluster specific rare	19
1	Cluster specific rare	3
1	Cluster specific rare	9
1	Cluster specific rare	1
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	9
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	15
1	Cluster specific rare	5
1	Cluster specific rare	9
1	Cluster specific rare	4
1	Cluster specific rare	52
1	Cluster specific rare	1
1	Cluster specific rare	0
1	Cluster specific rare	10
1	Cluster specific rare	3
1	Cluster specific rare	11
1	Cluster specific rare	4
1	Cluster specific rare	9
1	Cluster specific rare	6
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	6
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	6
1	Cluster specific rare	1
1	Cluster specific rare	5
1	Cluster specific rare	8
1	Cluster specific rare	3
1	Cluster specific rare	19
1	Cluster specific rare	14
1	Cluster specific rare	7
1	Cluster specific rare	4
1	Cluster specific rare	7
1	Cluster specific rare	6
1	Cluster specific rare	5
1	Cluster specific rare	3
1	Cluster specific rare	7
1	Cluster specific rare	1
1	Cluster specific rare	5
1	Cluster specific rare	12
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	10
1	Cluster specific rare	1
1	Cluster specific rare	20
1	Cluster specific rare	7
1	Cluster specific rare	25
1	Cluster specific rare	18
1	Cluster specific rare	9
1	Cluster specific rare	22
1	Cluster specific rare	9
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	7
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	5
1	Cluster specific rare	4
1	Cluster specific rare	1
1	Cluster specific rare	9
1	Cluster specific rare	7
1	Cluster specific rare	5
1	Cluster specific rare	7
1	Cluster specific rare	15
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	7
1	Cluster specific rare	5
1	Cluster specific rare	12
1	Cluster specific rare	1
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	32
1	Cluster specific rare	10
1	Cluster specific rare	1
1	Cluster specific rare	4
1	Cluster specific rare	30
1	Cluster specific rare	9
1	Cluster specific rare	16
1	Cluster specific rare	0
1	Cluster specific rare	6
1	Cluster specific rare	4
1	Cluster specific rare	20
1	Cluster specific rare	262
1	Cluster specific rare	1
1	Cluster specific rare	13
1	Cluster specific rare	4
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	10
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	26
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	6
1	Cluster specific rare	7
1	Cluster specific rare	2
1	Cluster specific rare	28
1	Cluster specific rare	7
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	6
1	Cluster specific rare	20
1	Cluster specific rare	6
1	Cluster specific rare	10
1	Cluster specific rare	4
1	Cluster specific rare	4
1	Cluster specific rare	8
1	Cluster specific rare	2
1	Cluster specific rare	15
1	Cluster specific rare	10
1	Cluster specific rare	20
1	Cluster specific rare	8
1	Cluster specific rare	7
1	Cluster specific rare	9
1	Cluster specific rare	1
1	Cluster specific rare	5
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	8
1	Cluster specific rare	24
1	Cluster specific rare	5
1	Cluster specific rare	35
1	Cluster specific rare	8
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	8
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	10
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	12
1	Cluster specific rare	5
1	Cluster specific rare	6
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	11
1	Cluster specific rare	13
1	Cluster specific rare	18
1	Cluster specific rare	11
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	14
1	Cluster specific rare	5
1	Cluster specific rare	12
1	Cluster specific rare	0
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	6
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	43
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	11
1	Cluster specific rare	7
1	Cluster specific rare	11
1	Cluster specific rare	26
1	Cluster specific rare	24
1	Cluster specific rare	21
1	Cluster specific rare	16
1	Cluster specific rare	1
1	Cluster specific rare	6
1	Cluster specific rare	5
1	Cluster specific rare	28
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	5
1	Cluster specific rare	10
1	Cluster specific rare	18
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	8
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	7
1	Cluster specific rare	4
1	Cluster specific rare	4
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	2
1	Cluster specific rare	10
1	Cluster specific rare	8
1	Cluster specific rare	5
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	7
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	5
1	Cluster specific rare	1
1	Cluster specific rare	11
1	Cluster specific rare	1
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	9
1	Cluster specific rare	19
1	Cluster specific rare	11
1	Cluster specific rare	44
1	Cluster specific rare	9
1	Cluster specific rare	2
1	Cluster specific rare	34
1	Cluster specific rare	16
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	11
1	Cluster specific rare	4
1	Cluster specific rare	5
1	Cluster specific rare	2
1	Cluster specific rare	4
1	Cluster specific rare	8
1	Cluster specific rare	2
1	Cluster specific rare	35
1	Cluster specific rare	4
1	Cluster specific rare	21
1	Cluster specific rare	5
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	7
1	Cluster specific rare	6
1	Cluster specific rare	3
1	Cluster specific rare	5
1	Cluster specific rare	8
1	Cluster specific rare	8
1	Cluster specific rare	3
1	Cluster specific rare	5
1	Cluster specific rare	15
1	Cluster specific rare	4
1	Cluster specific rare	4
1	Cluster specific rare	32
1	Cluster specific rare	5
1	Cluster specific rare	5
1	Cluster specific rare	7
1	Cluster specific rare	6
1	Cluster specific rare	3
1	Cluster specific rare	9
1	Cluster specific rare	6
1	Cluster specific rare	7
1	Cluster specific rare	4
1	Cluster specific rare	5
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	5
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	16
1	Cluster specific rare	5
1	Cluster specific rare	13
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	2
1	Cluster specific rare	5
1	Cluster specific rare	11
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	11
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	5
1	Cluster specific rare	5
1	Cluster specific rare	5
1	Cluster specific rare	4
1	Cluster specific rare	10
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	10
1	Cluster specific rare	4
1	Cluster specific rare	7
1	Cluster specific rare	5
1	Cluster specific rare	1
1	Cluster specific rare	8
1	Cluster specific rare	1
1	Cluster specific rare	10
1	Cluster specific rare	23
1	Cluster specific rare	3
1	Cluster specific rare	10
1	Cluster specific rare	6
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	9
1	Cluster specific rare	16
1	Cluster specific rare	5
1	Cluster specific rare	4
1	Cluster specific rare	5
1	Cluster specific rare	4
1	Cluster specific rare	5
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	20
1	Cluster specific rare	17
1	Cluster specific rare	1
1	Cluster specific rare	4
1	Cluster specific rare	7
1	Cluster specific rare	2
1	Cluster specific rare	12
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	0
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	7
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	12
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	13
1	Cluster specific rare	4
1	Cluster specific rare	8
1	Cluster specific rare	7
1	Cluster specific rare	1
1	Cluster specific rare	5
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	6
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	2
1	Cluster specific rare	4
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	0
1	Cluster specific rare	7
1	Cluster specific rare	1
1	Cluster specific rare	0
1	Cluster specific rare	0
1	Cluster specific rare	5
1	Cluster specific rare	0
1	Cluster specific rare	4
1	Cluster specific rare	0
1	Cluster specific rare	5
1	Cluster specific rare	7
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	4
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	8
1	Cluster specific rare	6
1	Cluster specific rare	5
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	9
1	Cluster specific rare	10
1	Cluster specific rare	7
1	Cluster specific rare	3
1	Cluster specific rare	4
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	5
1	Cluster specific rare	0
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	8
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	0
1	Cluster specific rare	4
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	0
1	Cluster specific rare	4
1	Cluster specific rare	11
1	Cluster specific rare	2
1	Cluster specific rare	2
1	Cluster specific rare	6
1	Cluster specific rare	0
1	Cluster specific rare	1
1	Cluster specific rare	5
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	5
1	Cluster specific rare	7
1	Cluster specific rare	7
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	5
1	Cluster specific rare	0
1	Cluster specific rare	0
1	Cluster specific rare	7
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	4
1	Cluster specific rare	0
1	Cluster specific rare	0
1	Cluster specific rare	1
1	Cluster specific rare	0
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	1
1	Cluster specific rare	2
1	Cluster specific rare	1
1	Cluster specific rare	8
1	Cluster specific rare	0
1	Cluster specific rare	10
1	Cluster specific rare	0
1	Cluster specific rare	2
1	Cluster specific rare	15
1	Cluster specific rare	1
1	Cluster specific rare	8
1	Cluster specific rare	2
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	1
1	Cluster specific rare	3
1	Cluster specific rare	3
1	Cluster specific rare	0
1	Cluster specific rare	1
